Course name,Course ID,Top Ten View Counts,Top Ten Course IDs,Top Ten Course Names
Course Name,Course Id
Introduction to Artificial Intelligence,301,"60.945901642680695, 37.161323369338255, 31.90204186315129, 28.855048424741124, 11.434874094341158, 11.372869417656869, 11.352103632534087, 10.555408071549483, 10.469818593636901, 10.096833962559666","592, 445, 835, 319, 320, 374, 398, 361, 836, 303","Introduction to Artificial Intelligence, CS188.1x: Artificial Intelligence, Machine Learning, Artificial Intelligence for Robotics, Introduction to Computer Science, Algorithms: Design and Analysis, Part 1, Neural Networks for Machine Learning, Introduction to Statistics, Natural Language Processing, Introduction to Databases"
Introduction to Databases,303,"264.76619804381727, 134.1199206808404, 49.543851791818724, 47.04842535921203, 45.46956612993851, 45.033939301305836, 40.48305599783459, 40.41359211971884, 36.612291913503505, 35.301067454932785","1580, 375, 442, 361, 320, 831, 593, 323, 1027, 835","DB: Introduction to Databases, Computer Science 101, CS50x: Introduction to Computer Science, Introduction to Statistics, Introduction to Computer Science, Introduction to Programming in Java, Introduction to Databases, Design of Computer Programs, CS 8803, Special Topics: Introduction to Database Systems, Machine Learning"
Software as a Service,305,"49.249919613649844, 25.419255291020473, 15.219766807897045, 6.668705803517296, 5.4309593893637755, 5.406960479208748, 5.3454835993511916, 4.827254011431398, 3.749165468677664, 3.094440689767115","357, 443, 558, 322, 303, 301, 1816, 324, 339, 836","Software Engineering for SaaS, CS169.1x: Engineering Software as a Service, CS169.2x: Engineering Software as a Service, Part 2, Computer Vision: The Fundamentals, Introduction to Databases, Introduction to Artificial Intelligence, Web Application Architectures, Web Development, Algorithms, Part I, Natural Language Processing"
Human-Computer Interaction,306,"17.410054764488788, 15.511955260362877, 12.04000699932472, 10.464876746628335, 8.589416321556662, 8.319456222242293, 7.940885581218912, 7.49713690578963, 7.417722639812884, 6.684505901557674","451, 628, 616, 1152, 453, 904, 1176, 376, 835, 339","Introduction to Data Science, Human Computer Interaction, Cryptography I, Data Mining with Weka, The Hardware/Software Interface, User Experience for the Web, Concepts in Game Development, Automata, Machine Learning, Algorithms, Part I"
Natural Language Processing,307,"57.92903023048674, 20.240449608671657, 15.349875518402174, 6.139045494960656, 5.716573017988021, 5.4821284126161, 5.327267375388438, 5.184862802254856, 5.162541380188439, 5.114821952616209","836, 835, 592, 376, 398, 303, 445, 1152, 968, 1020","Natural Language Processing, Machine Learning, Introduction to Artificial Intelligence, Automata, Neural Networks for Machine Learning, Introduction to Databases, CS188.1x: Artificial Intelligence, Data Mining with Weka, Big Data in Education, Machine Learning"
Game Theory,308,"45.60199494901863, 19.30445561455034, 17.613349485925063, 17.08122474542177, 16.125826400110167, 15.420672053158333, 15.063652451805934, 14.280444979057298, 13.668290598664566, 13.093799437636205","1469, 906, 370, 375, 835, 329, 616, 588, 744, 317","Game Theory II: Advanced Applications, Game Theory II, Introduction to Mathematical Thinking, Computer Science 101, Machine Learning, Introduction to Logic, Cryptography I, General Game Playing, Social and Economic Networks:  Models and Analysis, Model Thinking"
Probabilistic Graphical Models,309,"12.572042756478744, 6.625303211308578, 5.559679617843354, 5.1845325422860045, 4.259091192190869, 4.207265833581623, 4.204519979977646, 3.724173678457566, 3.49909465882477, 3.4778670100856806","835, 303, 361, 308, 616, 307, 376, 836, 592, 398","Machine Learning, Introduction to Databases, Introduction to Statistics, Game Theory, Cryptography I, Natural Language Processing, Automata, Natural Language Processing, Introduction to Artificial Intelligence, Neural Networks for Machine Learning"
Technology Entrepreneurship,313,"8.422510273123187, 6.4519945819253435, 5.253602998337628, 5.205981472638914, 4.942313683822446, 4.47936036923211, 3.338237344639594, 2.3104094023228963, 2.2400713145980977, 2.153680348837549","461, 470, 951, 840, 2572, 469, 752, 1639, 785, 467","How to Build a Startup, Technology Entrepreneurship, Technology Entrepreneurship Part 2, Developing Innovative Ideas for New Companies: The First Step in Entrepreneurship, How to Start a Startup, Startup Boards: Advanced Entrepreneurship, Entrepreneurship, Entrepreneurship and Family Business, Entrepreneurship and New Ventures, A Crash Course on Creativity"
Information Theory,316,"16.530579362346906, 15.181201995179286, 14.09480742235913, 13.48044023684421, 12.70882222491628, 11.91674978182544, 10.213558285275663, 10.167114878031525, 9.42036103777899, 8.586051601703357","616, 1182, 824, 595, 1475, 1041, 1580, 736, 1280, 427","Cryptography I, Introduction to Dynamical Systems and Chaos, Computer Networks, Computational Methods for Data Analysis, Mobile Robotics, Linear Circuits, DB: Introduction to Databases, Unpredictable? Randomness, Chance and Free Will, Decision Skills: Power Tools to Build Your Life, Heterogeneous Parallel Programming"
Model Thinking,317,"38.96822333327091, 25.932673110029874, 23.701992801760408, 19.346589694716823, 18.14729135068108, 17.82809410877533, 16.551128755093256, 15.146303069757229, 15.018806717852074, 14.92912273988587","345, 1713, 897, 352, 424, 835, 370, 830, 1574, 354","Introduction to Finance, R Programming, Foundations of Psychology, Fantasy and Science Fiction: The Human Mind, Our Modern World, A Beginner's Guide to Irrational Behavior, Machine Learning, Introduction to Mathematical Thinking, Introduction to Psychology, How to Read a Mind, Introduction to Sociology"
Computer Security,318,"86.75310759558904, 81.55906009174606, 49.98773260517212, 44.01365929622188, 36.540692933829575, 26.52872760343744, 25.946991668491314, 22.77047641658215, 21.88529722215718, 19.050795292577444","1325, 616, 1578, 375, 417, 303, 824, 1793, 1728, 1580","Introduction to Cybersecurity, Cryptography I, Networking: Introduction to Computer Networking, Computer Science 101, Information Security and Risk Management in Context, Introduction to Databases, Computer Networks, IT Security, Software Security , DB: Introduction to Databases"
Artificial Intelligence for Robotics,319,"102.75593089887316, 74.67801837720118, 70.97860744926615, 66.14285472474853, 50.65551051709837, 48.846469018156476, 36.15721910287319, 28.855048424741124, 28.45583625071768, 26.951309187389924","592, 320, 323, 1021, 324, 325, 835, 301, 364, 326","Introduction to Artificial Intelligence, Introduction to Computer Science, Design of Computer Programs, CS 8802, Artificial Intelligence for Robotics: Programming a Robotic Car, Web Development, Programming Languages, Machine Learning, Introduction to Artificial Intelligence, Intro to Algorithms, CS387 - Applied Cryptography"
Introduction to Computer Science,320,"262.0176873617492, 211.58127499633665, 190.70399987442946, 132.6528963888785, 126.00227279992349, 102.20451227252825, 85.9421199442787, 74.67801837720118, 74.17396066543758, 69.7915168028308","442, 325, 324, 323, 375, 361, 408, 319, 2161, 831","CS50x: Introduction to Computer Science, Programming Languages, Web Development, Design of Computer Programs, Computer Science 101, Introduction to Statistics, An Introduction to Interactive Programming in Python (Part 1), Artificial Intelligence for Robotics, Learning How to Learn: Powerful mental tools to help you master tough subjects, Introduction to Programming in Java"
Computer Vision: The Fundamentals,322,"461.1272141387393, 118.23889498288318, 92.9326144973795, 63.17421863918122, 48.689498027565605, 41.76611072820519, 21.473734267925558, 20.9577829168094, 17.977607571465267, 13.09258502499946","1022, 724, 341, 548, 1311, 855, 835, 462, 1020, 398","CS 4495, Computer Vision, Fundamentals of Digital Image and Video Processing, , CS184.1x: Foundations of Computer Graphics, Discrete Inference and Learning in Artificial Vision, Einführung in Computer Vision, Machine Learning, Image and video processing: From Mars to Hollywood with a stop at the hospital, Machine Learning, Neural Networks for Machine Learning"
Design of Computer Programs,323,"134.2714228103671, 132.6528963888785, 129.13960686651865, 104.53147575316416, 70.97860744926615, 52.547804515326455, 42.995503420060935, 41.93158551690198, 40.41359211971884, 38.853130542476535","375, 320, 325, 324, 319, 364, 616, 1580, 303, 442","Computer Science 101, Introduction to Computer Science, Programming Languages, Web Development, Artificial Intelligence for Robotics, Intro to Algorithms, Cryptography I, DB: Introduction to Databases, Introduction to Databases, CS50x: Introduction to Computer Science"
Web Development,324,"190.70399987442946, 155.48997828392254, 104.53147575316416, 89.95605339468347, 71.94187156574056, 64.08168049956414, 62.80348416534035, 59.89388205312662, 52.11322964252759, 52.08117271223584","320, 325, 323, 551, 1816, 365, 1046, 831, 904, 364","Introduction to Computer Science, Programming Languages, Design of Computer Programs, HTML5 Game Development, Web Application Architectures, Software Testing, Mobile Web Development, Introduction to Programming in Java, User Experience for the Web, Intro to Algorithms"
Programming Languages,325,"211.58127499633665, 155.48997828392254, 129.13960686651865, 72.48552185205622, 61.43040326751131, 60.704161659251916, 48.846469018156476, 44.263027049556364, 44.233020544022985, 41.42161150390823","320, 324, 323, 831, 442, 364, 319, 1010, 458, 365","Introduction to Computer Science, Web Development, Design of Computer Programs, Introduction to Programming in Java, CS50x: Introduction to Computer Science, Intro to Algorithms, Artificial Intelligence for Robotics, DCO042 - Python For Informatics, CSCI 1730 - Introduction to Programming Languages, Software Testing"
CS387 - Applied Cryptography,326,"42.19297306326422, 39.06804437385979, 32.347768965898034, 31.643843835192683, 30.57875681748234, 28.077844409635226, 26.951309187389924, 17.926306382751317, 17.549874941769257, 16.6229490128384","616, 320, 324, 325, 364, 323, 319, 1730, 365, 1010","Cryptography I, Introduction to Computer Science, Web Development, Programming Languages, Intro to Algorithms, Design of Computer Programs, Artificial Intelligence for Robotics, Cryptography, Software Testing, DCO042 - Python For Informatics"
Compilers,328,"31.273245563525432, 30.627468526017196, 28.673280121283025, 19.004259835364547, 16.56538361162754, 15.69087376652786, 15.518996106812464, 14.644881927317345, 13.767329351229455, 12.72249214726472","303, 375, 835, 1816, 616, 325, 442, 408, 374, 590","Introduction to Databases, Computer Science 101, Machine Learning, Web Application Architectures, Cryptography I, Programming Languages, CS50x: Introduction to Computer Science, An Introduction to Interactive Programming in Python (Part 1), Algorithms: Design and Analysis, Part 1, Introduction to Internetworking with TCP/IP"
Introduction to Logic,329,"38.14808535037266, 37.10124179792265, 22.678366762052395, 21.813891035938372, 16.98982373657195, 16.741639933617034, 16.563402599053013, 15.421962590511903, 15.420672053158333, 14.438713756071754","383, 370, 418, 375, 616, 361, 1454, 917, 308, 374","Think Again: How to Reason and Argue, Introduction to Mathematical Thinking, Introduction to Philosophy, Computer Science 101, Cryptography I, Introduction to Statistics, Logic: Language and Information 1, EDUC115-S: How to Learn Math: For Students, Game Theory, Algorithms: Design and Analysis, Part 1"
Calculus: Single Variable,331,"160.66436116049522, 112.6578538652946, 47.06323578460621, 34.40402103735661, 34.261481473254996, 28.75032876119021, 27.846629315528528, 23.083875317836256, 19.894902051429487, 18.660089312527194","563, 1812, 1076, 1337, 370, 515, 843, 630, 361, 456","Calculus One, Massively Multivariable Open Online Calculus Course, Calculus Two: Sequences and Series, UT.5.02x: Linear Algebra - Foundations to Frontiers, Introduction to Mathematical Thinking, Pre-Calculus, Pre-Calculus, College Algebra, Introduction to Statistics, Differential Equations in Action"
"Analytic Combinatorics, Part I",332,"38.93690339363766, 26.286351056206396, 10.875009879293767, 7.315316285904521, 4.623435681965094, 4.067419145265445, 3.774798312507695, 3.6287524706935588, 3.1391814919947914, 2.6345366769087994","922, 333, 921, 339, 370, 978, 1313, 334, 340, 1496","Analytic Combinatorics, Analytic Combinatorics, Part II, Analysis of Algorithms, Algorithms, Part I, Introduction to Mathematical Thinking, Analysis of a Complex Kind, An Introduction to Functional Analysis, Statistics One, Algorithms, Part II, 6.041x: Introduction to Probability - The Science of Uncertainty"
"Analytic Combinatorics, Part II",333,"26.286351056206396, 9.857841035976252, 2.8609894143442895, 2.762510165356465, 2.1053499985451354, 2.0420865797959626, 1.6887957178614297, 1.502616924373334, 1.475291828138128, 1.4147145685004783","332, 922, 334, 921, 339, 1313, 720, 1579, 340, 514","Analytic Combinatorics, Part I, Analytic Combinatorics, Statistics One, Analysis of Algorithms, Algorithms, Part I, An Introduction to Functional Analysis, Linear and Integer Programming, StatLearning: Statistical Learning, Algorithms, Part II, Intermediate Algebra"
Statistics One,334,"219.3628557608516, 95.72270394218943, 63.677161130647065, 53.21087467277448, 52.6066735595535, 33.06264556516127, 28.023714171988512, 20.211337400501584, 18.883974820378032, 16.905088099996323","361, 631, 614, 1349, 1579, 386, 646, 932, 1713, 596","Introduction to Statistics, Statistics: The Science of Decisions, Stat2.1X: Introduction to Statistics: Descriptive Statistics, Data Analysis and Statistical Inference , StatLearning: Statistical Learning, Data Analysis, Statistics: Making Sense of Data, Stat2.3x: Introduction to Statistics: Inference, R Programming, Mathematical Biostatistics Boot Camp 1"
"Internet History, Technology, and Security",335,"23.485832756868554, 14.902968705112329, 14.531875799128876, 13.944509498102041, 13.361833424274534, 13.248683870509096, 12.173315190344752, 12.119924316483502, 11.073708438248337, 10.915551190464814","1957, 417, 318, 339, 650, 1523, 590, 317, 1578, 1176","Programming for Everybody (Python), Information Security and Risk Management in Context, Computer Security, Algorithms, Part I, Designing and Executing Information Security Strategies, 21W.789x: Building Mobile Experiences, Introduction to Internetworking with TCP/IP, Model Thinking, Networking: Introduction to Computer Networking, Concepts in Game Development"
Networked Life,336,"4.276795889295889, 3.810017579226744, 3.339834239491917, 3.272642941942206, 2.9541670927397266, 2.6707691633338464, 2.3101682815495077, 2.299337905686841, 2.124545810160652, 2.1174310674310677","824, 376, 2377, 359, 1341, 1349, 2340, 744, 331, 1578","Computer Networks, Automata, Personal Branding: How to build & manage your image, Networks: Friends, Money, and Bytes, 6.00.1x: Introduction to Computer Science and Programming Using Python, Data Analysis and Statistical Inference , LPL: Language, Proof and Logic, Social and Economic Networks:  Models and Analysis, Calculus: Single Variable, Networking: Introduction to Computer Networking"
