Course name,Course ID,Top Ten View Counts,Top Ten Course IDs,Top Ten Course Names
Introduction to Artificial Intelligence,301,"30, 19, 19, 18, 18, 16, 15, 14, 12, 12","592, 835, 445, 616, 303, 374, 366, 414, 1021, 319","Introduction to Artificial Intelligence, Machine Learning, CS188.1x: Artificial Intelligence, Cryptography I, Introduction to Databases, Algorithms: Design and Analysis, Part 1, Learning from Data (Introductory Machine Learning course), Artificial Intelligence Planning, CS 8802, Artificial Intelligence for Robotics: Programming a Robotic Car, Artificial Intelligence for Robotics"
Introduction to Machine Learning,302
Introduction to Databases,303,"131, 98, 80, 66, 65, 62, 59, 51, 48, 47","375, 1580, 328, 831, 442, 339, 323, 361, 318, 366","Computer Science 101, DB: Introduction to Databases, Compilers, Introduction to Programming in Java, CS50x: Introduction to Computer Science, Algorithms, Part I, Design of Computer Programs, Introduction to Statistics, Computer Security, Learning from Data (Introductory Machine Learning course)"
CS 101,304,"15, 13, 12, 10, 8, 8, 8, 8, 7, 7","442, 375, 339, 303, 446, 385, 374, 458, 323, 376","CS50x: Introduction to Computer Science, Computer Science 101, Algorithms, Part I, Introduction to Databases, 6.00x: Introduction to Computer Science and Programming, Learn to Program: The Fundamentals, Algorithms: Design and Analysis, Part 1, CSCI 1730 - Introduction to Programming Languages, Design of Computer Programs, Automata"
Software as a Service,305,"21, 18, 12, 11, 9, 8, 7, 7, 7, 7","357, 443, 303, 558, 454, 616, 322, 1470, 301, 417","Software Engineering for SaaS, CS169.1x: Software as a Service, Introduction to Databases, CS169.2x: Software as a Service, Web Intelligence and Big Data, Cryptography I, Computer Vision: The Fundamentals, Introduction to Hadoop and MapReduce, Introduction to Artificial Intelligence, Information Security and Risk Management in Context"
Human-Computer Interaction,306,"30, 25, 24, 22, 21, 21, 20, 20, 19, 18","376, 408, 835, 429, 1176, 342, 446, 1243, 592, 308","Automata, An Introduction to Interactive Programming in Python, Machine Learning, Creative, Serious and Playful Science of Android Apps, Concepts in Game Development, Computer Architecture, 6.00x: Introduction to Computer Science and Programming, Begin programming: build your first mobile game, Introduction to Artificial Intelligence, Game Theory"
Natural Language Processing,307,"27, 21, 21, 21, 20, 18, 17, 17, 17, 16","836, 835, 376, 303, 1020, 318, 341, 322, 366, 414","Natural Language Processing, Machine Learning, Automata, Introduction to Databases, CS 7641, Machine Learning, Computer Security, Computer Vision: From 3D Reconstruction to Visual Recognition, Computer Vision: The Fundamentals, Learning from Data (Introductory Machine Learning course), Artificial Intelligence Planning"
Game Theory,308,"31, 25, 22, 21, 20, 20, 20, 19, 18, 18","1469, 616, 345, 370, 835, 329, 386, 375, 1009, 306","Game Theory II: Advanced Applications, Cryptography I, Introduction to Finance, Introduction to Mathematical Thinking, Machine Learning, Introduction to Logic, Data Analysis, Computer Science 101, Behavioural Economics in Action, Human-Computer Interaction"
Probabilistic Graphical Models,309,"15, 12, 11, 10, 9, 9, 9, 8, 8, 8","835, 370, 322, 374, 366, 376, 308, 616, 361, 452","Machine Learning, Introduction to Mathematical Thinking, Computer Vision: The Fundamentals, Algorithms: Design and Analysis, Part 1, Learning from Data (Introductory Machine Learning course), Automata, Game Theory, Cryptography I, Introduction to Statistics, Programming Languages"
Cryptography,310
